Enfermedades,,,,,,,,,,,
Gripe,Garlic,onion,ginger,pomegranate,Kiwi,Tea,,,,,
Faringitis,Kiwi,Licorice,Sage,ice cream,Banana,Carrot,Tea,,,,
Bronquitis,Carrot,,Lemon,Papaya,Pineapple,Garlic,Cauliflower,,,,
Gastritis,Strawberry,Garlic,Carrot,Orange,ginger,,,,,,
Hepatitis,Garlic,Apple,Broccoli,Lemon,Avocado,,,,,,
Úlceras,Fish,Egg,cauliflower,cabbage,onion,cheese,,,,,
Hipertension,Nuts,Dairy products,seed,chocolate,Olive,Beet,Pomegranate,,,,
Arritmia,Fish,Nut,almond,Cereal,Pineapples,Kiwi,,,,,
Varices,banana,Cereal,Beer yeast,Nut,cauliflower,,,,,,
Obesidad,Milk,Fish,Cereal,lentils,chickpeas,beans,Olive,,,,
Diabetes,fish,Cinnamon,Eggs,Chia,Turmeric,Nuts,,,,,
Osteoporosis,Milk,cheese,tofu,chickpea,Nuts,Almonds,Orange,,,,
Migraña,Strawberry,Lettuce,Nut,fish,Shellfish,Cinnamon,,,,,
Imsomnio,Almonds,peanut,pistachio,Sage,basil,oat,rice,pasta,,,
Alzheimer,broccoli,cabbage,spinach,pepper,blackberrie,grape,papaya,strawberry,kiwi,Nut,Olive oil